PREDSEDNICKIIZBORIodržani13.juna2004.prvikrug,VAR00001,V2,,V3,V4,V5,V6,V7,V8,V9,Ljiljana Aranđelović,Vladan Batić,Ivica Dačić,Milovan Drecun,Dragan Djordjević,Branislav Ivković,Mirko Jović,Jelisaveta Karađorđević,Bogoljub Karić,Dragan Maršićanin,Zoran Milinković,Tomislav Nikolić,Borislav Pelević,Marijan Rističević,Boris Tadić
70203,Palilula,51,,1445,740,1445,705,705,4,701,2,3,12,1,0,0,3,11,133,116,0,219,3,1,197
70211,Rakovica,51,,1990,1150,1990,840,840,7,833,0,3,19,1,0,4,2,12,260,73,1,330,4,0,124
70246,Stari Grad,51,,991,482,991,509,509,3,506,0,4,14,0,0,0,0,13,47,95,0,56,0,1,276
70254,^ukarica,51,,1288,687,1288,601,601,7,594,1,6,12,1,0,0,0,10,121,104,1,115,1,1,221
70351,Bujanovac,51,,446,214,446,232,232,0,232,0,2,7,1,1,0,1,5,47,25,0,93,2,2,46
70360,Vaqevo,51,,211,125,211,86,86,1,85,2,0,6,0,1,7,1,4,10,20,0,21,0,2,11
70416,Vladi~in Han,51,,113,77,113,36,36,1,35,0,0,1,0,0,0,0,0,6,10,0,11,0,0,7
70424,Vlasotince,51,,165,132,165,33,33,2,31,5,1,8,1,0,0,0,0,0,4,0,12,0,0,0
70432,Vrawe,51,,164,112,164,52,52,1,51,1,0,15,0,0,0,0,1,0,3,0,29,0,0,2
70483,Gorwi Milanovac,51,,212,116,212,96,96,0,96,0,0,19,0,1,0,0,2,18,13,1,20,3,1,18
70556,Zaje~ar,51,,902,627,902,275,275,5,270,2,1,9,0,0,1,1,17,34,19,1,80,2,2,101
70564,Ivawica,51,,190,102,191,88,88,0,88,0,0,1,0,0,0,0,1,11,11,0,53,2,0,9
70602,Kwa`evac,51,,357,209,357,148,148,4,144,1,1,12,1,0,0,1,3,29,28,0,45,1,2,20
70645,Kragujevac-grad,51,,1142,527,1142,615,615,1,614,1,2,37,4,0,2,0,15,79,134,0,137,0,2,201
70653,Kraqevo,51,,1305,862,1305,443,443,4,439,2,1,8,1,1,4,3,10,83,69,0,183,3,1,70
70670,Kru{evac,51,,1631,943,1631,688,688,8,680,2,1,14,6,1,3,0,12,162,98,0,253,4,1,123
70688,Kur{umlija,51,,274,162,274,112,112,2,110,2,0,6,0,0,0,1,0,25,18,0,48,0,1,9
70726,Leskovac,51,,508,265,508,243,243,7,236,1,0,11,1,0,7,0,1,46,25,0,125,0,3,16
70734,Loznica,51,,1908,956,1909,952,952,14,938,2,8,47,13,1,2,0,13,229,160,3,228,7,5,220
70742,Lu~ani,51,,301,160,301,141,141,3,138,0,2,15,4,1,1,1,0,12,34,0,40,1,1,26
70840,Negotin,51,,541,317,541,224,224,6,218,4,3,14,1,0,3,0,9,61,22,1,61,1,4,34
70858,Ni{,51,,1947,1096,1947,851,851,9,842,2,2,28,13,2,0,1,32,230,128,1,182,4,1,216
